[cifar10] extracting 10 cells
  c10_aux_2pct seed0 [last.pt]: acc 58.30
  c10_aux_2pct seed1 [last.pt]: acc 58.61
  c10_aux_2pct seed2 [last.pt]: acc 58.57
  c10_aux_5pct seed0 [last.pt]: acc 73.68
  c10_aux_5pct seed1 [last.pt]: acc 73.36
  c10_aux_5pct seed2 [last.pt]: acc 73.36
  c10_none_2pct seed0 [last.pt]: acc 52.34
  c10_none_2pct seed1 [last.pt]: acc 51.70
  c10_none_2pct seed2 [last.pt]: acc 50.02
  c10_none_5pct seed0 [last.pt]: acc 68.86
  c10_none_5pct seed1 [last.pt]: acc 69.20
  c10_none_5pct seed2 [last.pt]: acc 69.07
  diaggrid_dino_c10_10pct seed0 [last.pt]: acc 63.81
  diaggrid_dino_c10_10pct seed1 [last.pt]: acc 62.57
  diaggrid_dino_c10_10pct seed2 [last.pt]: acc 62.92
  diaggrid_simclr_c10_2pct seed0 [last.pt]: acc 59.95
  diaggrid_simclr_c10_2pct seed1 [last.pt]: acc 60.24
  diaggrid_simclr_c10_2pct seed2 [last.pt]: acc 59.15
  diaggrid_simsiam_c10_5pct seed0 [last.pt]: acc 68.50
  diaggrid_simsiam_c10_5pct seed1 [last.pt]: acc 69.64
  diaggrid_simsiam_c10_5pct seed2 [last.pt]: acc 69.19
  diaggrid_vit_c10_aux_10pct seed0 [last.pt]: acc 66.44
  diaggrid_vit_c10_aux_10pct seed1 [last.pt]: acc 65.89
  diaggrid_vit_c10_aux_10pct seed2 [last.pt]: acc 66.48
  diaggrid_vit_c10_none_10pct seed0 [last.pt]: acc 53.37
  diaggrid_vit_c10_none_10pct seed1 [last.pt]: acc 50.42
  diaggrid_vit_c10_none_10pct seed2 [last.pt]: acc 52.95
  diagtransfer2_c10_none_5pct seed3 [last.pt]: acc 78.13
  diagtransfer2_c10_none_5pct seed4 [last.pt]: acc 80.68
  diagtransfer2_c10_none_5pct seed5 [last.pt]: acc 81.91
[cifar100] extracting 48 cells
  abl10_none seed0 [last.pt]: acc 40.43
  abl10_none seed1 [last.pt]: acc 39.55
  abl10_none seed2 [last.pt]: acc 40.54
  abl25_none seed0 [last.pt]: acc 61.72
  abl25_none seed1 [last.pt]: acc 60.83
  abl25_none seed2 [last.pt]: acc 61.52
  abl7_none seed0 [last.pt]: acc 31.80
  abl7_none seed1 [last.pt]: acc 31.60
  abl7_none seed2 [last.pt]: acc 32.90
  auxmag_10pct_sched0 seed0 [last.pt]: acc 44.20
  auxmag_10pct_sched0 seed1 [last.pt]: acc 44.71
  auxmag_10pct_sched0 seed2 [last.pt]: acc 44.07
  auxmag_25pct_sched0 seed0 [last.pt]: acc 61.35
  auxmag_25pct_sched0 seed1 [last.pt]: acc 61.43
  auxmag_25pct_sched0 seed2 [last.pt]: acc 61.74
  auxmag_7pct_sched0 seed0 [last.pt]: acc 36.34
  auxmag_7pct_sched0 seed1 [last.pt]: acc 37.13
  auxmag_7pct_sched0 seed2 [last.pt]: acc 37.42
  diagdeit_aux_10pct seed0 [last.pt]: acc 41.00
  diagdeit_aux_10pct seed1 [last.pt]: acc 41.28
  diagdeit_aux_10pct seed2 [last.pt]: acc 41.55
  diagdeit_none_100pct seed0 [last.pt]: acc 60.87
  diagdeit_none_100pct seed1 [last.pt]: acc 61.57
  diagdeit_none_100pct seed2 [last.pt]: acc 61.75
  diagdeit_none_10pct seed0 [last.pt]: acc 18.96
  diagdeit_none_10pct seed1 [last.pt]: acc 21.94
  diagdeit_none_10pct seed2 [last.pt]: acc 19.93
  diagdeit_none_15pct seed0 [last.pt]: acc 25.50
  diagdeit_none_15pct seed1 [last.pt]: acc 27.42
  diagdeit_none_15pct seed2 [last.pt]: acc 19.28
  diagdeit_none_1pct seed0 [last.pt]: acc 6.49
  diagdeit_none_1pct seed1 [last.pt]: acc 5.83
  diagdeit_none_1pct seed2 [last.pt]: acc 7.14
  diagdeit_none_25pct seed0 [last.pt]: acc 32.02
  diagdeit_none_25pct seed1 [last.pt]: acc 33.21
  diagdeit_none_25pct seed2 [last.pt]: acc 31.53
  diagdeit_none_2pct seed0 [last.pt]: acc 9.89
  diagdeit_none_2pct seed1 [last.pt]: acc 10.17
  diagdeit_none_2pct seed2 [last.pt]: acc 9.87
  diagdeit_none_3pct seed0 [last.pt]: acc 10.96
