[cifar10] 25-shot probes for 9 cells
  c10_aux_2pct seed0 [last.pt]: 25-shot test 57.70
  c10_aux_2pct seed1 [last.pt]: 25-shot test 58.13
  c10_aux_2pct seed2 [last.pt]: 25-shot test 57.79
  c10_aux_5pct seed0 [last.pt]: 25-shot test 73.54
  c10_aux_5pct seed1 [last.pt]: 25-shot test 73.29
  c10_aux_5pct seed2 [last.pt]: 25-shot test 72.82
  c10_none_2pct seed0 [last.pt]: 25-shot test 52.13
  c10_none_2pct seed1 [last.pt]: 25-shot test 51.50
  c10_none_2pct seed2 [last.pt]: 25-shot test 49.54
  c10_none_5pct seed0 [last.pt]: 25-shot test 68.37
  c10_none_5pct seed1 [last.pt]: 25-shot test 68.59
  c10_none_5pct seed2 [last.pt]: 25-shot test 68.54
  diaggrid_dino_c10_10pct seed0 [last.pt]: 25-shot test 63.45
  diaggrid_dino_c10_10pct seed1 [last.pt]: 25-shot test 62.13
  diaggrid_dino_c10_10pct seed2 [last.pt]: 25-shot test 62.84
  diaggrid_simclr_c10_2pct seed0 [last.pt]: 25-shot test 59.26
  diaggrid_simclr_c10_2pct seed1 [last.pt]: 25-shot test 59.96
  diaggrid_simclr_c10_2pct seed2 [last.pt]: 25-shot test 58.66
  diaggrid_simsiam_c10_5pct seed0 [last.pt]: 25-shot test 68.24
  diaggrid_simsiam_c10_5pct seed1 [last.pt]: 25-shot test 69.42
  diaggrid_simsiam_c10_5pct seed2 [last.pt]: 25-shot test 68.60
  diaggrid_vit_c10_aux_10pct seed0 [last.pt]: 25-shot test 66.19
  diaggrid_vit_c10_aux_10pct seed1 [last.pt]: 25-shot test 65.55
  diaggrid_vit_c10_aux_10pct seed2 [last.pt]: 25-shot test 66.36
  diaggrid_vit_c10_none_10pct seed0 [last.pt]: 25-shot test 53.28
  diaggrid_vit_c10_none_10pct seed1 [last.pt]: 25-shot test 49.79
  diaggrid_vit_c10_none_10pct seed2 [last.pt]: 25-shot test 51.81
[cifar100] 25-shot probes for 50 cells
  abl10_none seed0 [last.pt]: 25-shot test 40.15
  abl10_none seed1 [last.pt]: 25-shot test 39.40
  abl10_none seed2 [last.pt]: 25-shot test 40.51
  abl25_none seed0 [last.pt]: 25-shot test 61.64
  abl25_none seed1 [last.pt]: 25-shot test 60.84
  abl25_none seed2 [last.pt]: 25-shot test 61.06
  auxmag_10pct_sched0 seed0 [last.pt]: 25-shot test 44.02
  auxmag_10pct_sched0 seed1 [last.pt]: 25-shot test 44.73
  auxmag_10pct_sched0 seed2 [last.pt]: 25-shot test 44.03
  auxmag_25pct_sched0 seed0 [last.pt]: 25-shot test 61.43
  auxmag_25pct_sched0 seed1 [last.pt]: 25-shot test 61.26
  auxmag_25pct_sched0 seed2 [last.pt]: 25-shot test 61.68
  diagdeit_aux_10pct seed0 [last.pt]: 25-shot test 39.11
  diagdeit_aux_10pct seed1 [last.pt]: 25-shot test 39.10
  diagdeit_aux_10pct seed2 [last.pt]: 25-shot test 39.94
  diagdeit_none_100pct seed0 [last.pt]: 25-shot test 56.48
  diagdeit_none_100pct seed1 [last.pt]: 25-shot test 57.12
  diagdeit_none_100pct seed2 [last.pt]: 25-shot test 57.59
  diagdeit_none_10pct seed0 [last.pt]: 25-shot test 15.58
  diagdeit_none_10pct seed1 [last.pt]: 25-shot test 18.88
  diagdeit_none_10pct seed2 [last.pt]: 25-shot test 17.25
  diagdeit_none_15pct seed0 [last.pt]: 25-shot test 20.21
  diagdeit_none_15pct seed1 [last.pt]: 25-shot test 22.15
  diagdeit_none_15pct seed2 [last.pt]: 25-shot test 15.75
  diagdeit_none_1pct seed0 [last.pt]: 25-shot test 11.26
  diagdeit_none_1pct seed1 [last.pt]: 25-shot test 9.88
  diagdeit_none_1pct seed2 [last.pt]: 25-shot test 11.87
  diagdeit_none_25pct seed0 [last.pt]: 25-shot test 25.28
  diagdeit_none_25pct seed1 [last.pt]: 25-shot test 27.20
  diagdeit_none_25pct seed2 [last.pt]: 25-shot test 24.97
  diagdeit_none_2pct seed0 [last.pt]: 25-shot test 11.28
  diagdeit_none_2pct seed1 [last.pt]: 25-shot test 12.60
  diagdeit_none_2pct seed2 [last.pt]: 25-shot test 11.90
  diagdeit_none_3pct seed0 [last.pt]: 25-shot test 11.98
  diagdeit_none_3pct seed1 [last.pt]: 25-shot test 12.39
  diagdeit_none_3pct seed2 [last.pt]: 25-shot test 12.52
  diagdeit_none_5pct seed0 [last.pt]: 25-shot test 13.37
  diagdeit_none_5pct seed1 [last.pt]: 25-shot test 11.82
  diagdeit_none_5pct seed2 [last.pt]: 25-shot test 11.53
  diagdeit_none_7pct seed0 [last.pt]: 25-shot test 13.38
  diagdeit_none_7pct seed1 [last.pt]: 25-shot test 14.97
  diagdeit_none_7pct seed2 [last.pt]: 25-shot test 14.22
  diagdeitssl_simclr_10pct seed0 [last.pt]: 25-shot test 36.29
  diagdeitssl_simclr_10pct seed1 [last.pt]: 25-shot test 35.77
  diagdeitssl_simclr_10pct seed2 [last.pt]: 25-shot test 33.51
  diaggrid_dino_c100_25pct seed0 [last.pt]: 25-shot test 41.01
  diaggrid_dino_c100_25pct seed1 [last.pt]: 25-shot test 40.59
  diaggrid_dino_c100_25pct seed2 [last.pt]: 25-shot test 40.82
  diaggrid_dino_vit_10pct seed0 [last.pt]: 25-shot test 25.38
  diaggrid_dino_vit_10pct seed1 [last.pt]: 25-shot test 23.68
  diaggrid_dino_vit_10pct seed2 [last.pt]: 25-shot test 24.95
  diaggrid_dino_vit_5pct seed0 [last.pt]: 25-shot test 14.90
  diaggrid_dino_vit_5pct seed1 [last.pt]: 25-shot test 15.00
  diaggrid_dino_vit_5pct seed2 [last.pt]: 25-shot test 15.73
  diaggrid_simclr_c100_10pct seed0 [last.pt]: 25-shot test 48.86
  diaggrid_simclr_c100_10pct seed1 [last.pt]: 25-shot test 48.75
  diaggrid_simclr_c100_10pct seed2 [last.pt]: 25-shot test 47.80
  diaggrid_simclr_c100_25pct seed0 [last.pt]: 25-shot test 63.38
  diaggrid_simclr_c100_25pct seed1 [last.pt]: 25-shot test 63.12
  diaggrid_simclr_c100_25pct seed2 [last.pt]: 25-shot test 63.60
  diaggrid_simclr_c100_5pct seed0 [last.pt]: 25-shot test 34.67
  diaggrid_simclr_c100_5pct seed1 [last.pt]: 25-shot test 34.55
  diaggrid_simclr_c100_5pct seed2 [last.pt]: 25-shot test 34.41
  diaggrid_simsiam_c100_10pct seed0 [last.pt]: 25-shot test 40.97
  diaggrid_simsiam_c100_10pct seed1 [last.pt]: 25-shot test 40.31
  diaggrid_simsiam_c100_10pct seed2 [last.pt]: 25-shot test 40.70
  diaggrid_simsiam_c100_5pct seed0 [last.pt]: 25-shot test 25.38
  diaggrid_simsiam_c100_5pct seed1 [last.pt]: 25-shot test 25.25
  diaggrid_simsiam_c100_5pct seed2 [last.pt]: 25-shot test 25.63
  diagmae_vit_10pct seed0 [last.pt]: 25-shot test 29.51
  diagmae_vit_10pct seed1 [last.pt]: 25-shot test 29.09
  diagmae_vit_10pct seed2 [last.pt]: 25-shot test 29.52
  diagmae_vit_1pct seed0 [last.pt]: 25-shot test 8.54
  diagmae_vit_1pct seed1 [last.pt]: 25-shot test 9.07
  diagmae_vit_1pct seed2 [last.pt]: 25-shot test 9.14
  diagmae_vit_25pct seed0 [last.pt]: 25-shot test 40.33
  diagmae_vit_25pct seed1 [last.pt]: 25-shot test 44.07
  diagmae_vit_25pct seed2 [last.pt]: 25-shot test 43.06
  diagmae_vit_2pct seed0 [last.pt]: 25-shot test 11.40
  diagmae_vit_2pct seed1 [last.pt]: 25-shot test 10.24
  diagmae_vit_2pct seed2 [last.pt]: 25-shot test 11.21
  diagmae_vit_5pct seed0 [last.pt]: 25-shot test 21.65
  diagmae_vit_5pct seed1 [last.pt]: 25-shot test 18.05
  diagmae_vit_5pct seed2 [last.pt]: 25-shot test 21.83
  diagsslvit_simclr_10pct seed0 [last.pt]: 25-shot test 30.48
  diagsslvit_simclr_10pct seed1 [last.pt]: 25-shot test 30.17
