pretrain optimizer: sgd lr=0.3
pretrain epoch 1/800 loss 5.2679
pretrain epoch 10/800 loss 4.9920
pretrain epoch 20/800 loss 4.6532
pretrain epoch 30/800 loss 4.4725
pretrain epoch 40/800 loss 4.2348
pretrain epoch 50/800 loss 4.0350
pretrain epoch 60/800 loss 3.8348
pretrain epoch 70/800 loss 3.6916
pretrain epoch 80/800 loss 3.6556
pretrain epoch 90/800 loss 3.4804
pretrain epoch 100/800 loss 3.4529
pretrain epoch 110/800 loss 3.4185
pretrain epoch 120/800 loss 3.3392
pretrain epoch 130/800 loss 3.3733
pretrain epoch 140/800 loss 3.3115
pretrain epoch 150/800 loss 3.3038
pretrain epoch 160/800 loss 3.2425
pretrain epoch 170/800 loss 3.2411
pretrain epoch 180/800 loss 3.1090
pretrain epoch 190/800 loss 3.0760
pretrain epoch 200/800 loss 3.0697
pretrain epoch 210/800 loss 2.8968
pretrain epoch 220/800 loss 2.8536
pretrain epoch 230/800 loss 2.7783
pretrain epoch 240/800 loss 2.7126
pretrain epoch 250/800 loss 2.6737
pretrain epoch 260/800 loss 2.6014
pretrain epoch 270/800 loss 2.5643
pretrain epoch 280/800 loss 2.5648
pretrain epoch 290/800 loss 2.4923
pretrain epoch 300/800 loss 2.4649
pretrain epoch 310/800 loss 2.3978
pretrain epoch 320/800 loss 2.3789
pretrain epoch 330/800 loss 2.2894
pretrain epoch 340/800 loss 2.3021
pretrain epoch 350/800 loss 2.2618
pretrain epoch 360/800 loss 2.2418
pretrain epoch 370/800 loss 2.1747
pretrain epoch 380/800 loss 2.1292
pretrain epoch 390/800 loss 2.0931
pretrain epoch 400/800 loss 2.0515
pretrain epoch 410/800 loss 2.0346
pretrain epoch 420/800 loss 2.0251
pretrain epoch 430/800 loss 2.0171
pretrain epoch 440/800 loss 1.9583
pretrain epoch 450/800 loss 1.9546
pretrain epoch 460/800 loss 1.8651
pretrain epoch 470/800 loss 1.8722
pretrain epoch 480/800 loss 1.8302
pretrain epoch 490/800 loss 1.8188
pretrain epoch 500/800 loss 1.7987
pretrain epoch 510/800 loss 1.7743
pretrain epoch 520/800 loss 1.7215
pretrain epoch 530/800 loss 1.7090
pretrain epoch 540/800 loss 1.7218
pretrain epoch 550/800 loss 1.6340
pretrain epoch 560/800 loss 1.6526
pretrain epoch 570/800 loss 1.6814
pretrain epoch 580/800 loss 1.6194
pretrain epoch 590/800 loss 1.5878
pretrain epoch 600/800 loss 1.6006
pretrain epoch 610/800 loss 1.5638
pretrain epoch 620/800 loss 1.5821
pretrain epoch 630/800 loss 1.5433
pretrain epoch 640/800 loss 1.5679
pretrain epoch 650/800 loss 1.5246
pretrain epoch 660/800 loss 1.5086
pretrain epoch 670/800 loss 1.5149
pretrain epoch 680/800 loss 1.5076
pretrain epoch 690/800 loss 1.4662
pretrain epoch 700/800 loss 1.4683
pretrain epoch 710/800 loss 1.4710
pretrain epoch 720/800 loss 1.4728
pretrain epoch 730/800 loss 1.4828
pretrain epoch 740/800 loss 1.4453
pretrain epoch 750/800 loss 1.4770
pretrain epoch 760/800 loss 1.4500
pretrain epoch 770/800 loss 1.4495
pretrain epoch 780/800 loss 1.4632
pretrain epoch 790/800 loss 1.4440
pretrain epoch 800/800 loss 1.4465
saved 120 tensors (5600 steps) -> runs/simclr_pre800_c100_2pct/seed1/pretrain.pt
