pretrain optimizer: adamw lr=0.001
pretrain epoch 1/800 loss 5.2425
pretrain epoch 10/800 loss 4.1227
pretrain epoch 20/800 loss 3.6027
pretrain epoch 30/800 loss 3.4198
pretrain epoch 40/800 loss 3.2348
pretrain epoch 50/800 loss 3.1339
pretrain epoch 60/800 loss 3.0823
pretrain epoch 70/800 loss 2.9630
pretrain epoch 80/800 loss 2.9024
pretrain epoch 90/800 loss 2.8221
pretrain epoch 100/800 loss 2.7908
pretrain epoch 110/800 loss 2.7619
pretrain epoch 120/800 loss 2.6685
pretrain epoch 130/800 loss 2.6684
pretrain epoch 140/800 loss 2.5956
pretrain epoch 150/800 loss 2.6121
pretrain epoch 160/800 loss 2.5499
pretrain epoch 170/800 loss 2.4982
pretrain epoch 180/800 loss 2.4631
pretrain epoch 190/800 loss 2.4361
pretrain epoch 200/800 loss 2.3930
pretrain epoch 210/800 loss 2.3731
pretrain epoch 220/800 loss 2.3716
pretrain epoch 230/800 loss 2.3487
pretrain epoch 240/800 loss 2.3103
pretrain epoch 250/800 loss 2.2711
pretrain epoch 260/800 loss 2.2900
pretrain epoch 270/800 loss 2.2439
pretrain epoch 280/800 loss 2.2084
pretrain epoch 290/800 loss 2.2198
pretrain epoch 300/800 loss 2.1837
pretrain epoch 310/800 loss 2.1522
pretrain epoch 320/800 loss 2.1460
pretrain epoch 330/800 loss 2.1511
pretrain epoch 340/800 loss 2.1070
pretrain epoch 350/800 loss 2.1005
pretrain epoch 360/800 loss 2.0826
pretrain epoch 370/800 loss 2.0549
pretrain epoch 380/800 loss 2.0510
pretrain epoch 390/800 loss 2.0234
pretrain epoch 400/800 loss 2.0268
pretrain epoch 410/800 loss 1.9990
pretrain epoch 420/800 loss 1.9985
pretrain epoch 430/800 loss 1.9935
pretrain epoch 440/800 loss 1.9388
pretrain epoch 450/800 loss 1.9324
pretrain epoch 460/800 loss 1.9298
pretrain epoch 470/800 loss 1.9346
pretrain epoch 480/800 loss 1.9202
pretrain epoch 490/800 loss 1.9012
pretrain epoch 500/800 loss 1.8877
pretrain epoch 510/800 loss 1.8686
pretrain epoch 520/800 loss 1.8579
pretrain epoch 530/800 loss 1.8500
pretrain epoch 540/800 loss 1.8393
pretrain epoch 550/800 loss 1.8418
pretrain epoch 560/800 loss 1.8339
pretrain epoch 570/800 loss 1.8136
pretrain epoch 580/800 loss 1.8144
pretrain epoch 590/800 loss 1.7878
pretrain epoch 600/800 loss 1.7835
pretrain epoch 610/800 loss 1.7664
pretrain epoch 620/800 loss 1.7737
pretrain epoch 630/800 loss 1.7603
pretrain epoch 640/800 loss 1.7366
pretrain epoch 650/800 loss 1.7450
pretrain epoch 660/800 loss 1.7453
pretrain epoch 670/800 loss 1.7480
pretrain epoch 680/800 loss 1.7152
pretrain epoch 690/800 loss 1.7103
pretrain epoch 700/800 loss 1.7223
pretrain epoch 710/800 loss 1.7038
pretrain epoch 720/800 loss 1.7064
pretrain epoch 730/800 loss 1.7025
pretrain epoch 740/800 loss 1.7043
pretrain epoch 750/800 loss 1.6842
pretrain epoch 760/800 loss 1.6985
pretrain epoch 770/800 loss 1.6945
pretrain epoch 780/800 loss 1.6898
pretrain epoch 790/800 loss 1.6840
pretrain epoch 800/800 loss 1.7044
saved 150 tensors (31200 steps) -> runs/simclr_pre800_vit_10pct/seed2/pretrain.pt
