pretrain optimizer: adamw lr=0.001
pretrain epoch 1/800 loss 5.1547
pretrain epoch 10/800 loss 3.8783
pretrain epoch 20/800 loss 3.3853
pretrain epoch 30/800 loss 3.2158
pretrain epoch 40/800 loss 3.0341
pretrain epoch 50/800 loss 2.9590
pretrain epoch 60/800 loss 2.8904
pretrain epoch 70/800 loss 2.7764
pretrain epoch 80/800 loss 2.7263
pretrain epoch 90/800 loss 2.6605
pretrain epoch 100/800 loss 2.6343
pretrain epoch 110/800 loss 2.5914
pretrain epoch 120/800 loss 2.5519
pretrain epoch 130/800 loss 2.5193
pretrain epoch 140/800 loss 2.4708
pretrain epoch 150/800 loss 2.4787
pretrain epoch 160/800 loss 2.4047
pretrain epoch 170/800 loss 2.3949
pretrain epoch 180/800 loss 2.3838
pretrain epoch 190/800 loss 2.3445
pretrain epoch 200/800 loss 2.3149
pretrain epoch 210/800 loss 2.2734
pretrain epoch 220/800 loss 2.2628
pretrain epoch 230/800 loss 2.2418
pretrain epoch 240/800 loss 2.1989
pretrain epoch 250/800 loss 2.1682
pretrain epoch 260/800 loss 2.1634
pretrain epoch 270/800 loss 2.1348
pretrain epoch 280/800 loss 2.0739
pretrain epoch 290/800 loss 2.0741
pretrain epoch 300/800 loss 2.0604
pretrain epoch 310/800 loss 2.0355
pretrain epoch 320/800 loss 2.0081
pretrain epoch 330/800 loss 1.9965
pretrain epoch 340/800 loss 1.9762
pretrain epoch 350/800 loss 1.9506
pretrain epoch 360/800 loss 1.9438
pretrain epoch 370/800 loss 1.9227
pretrain epoch 380/800 loss 1.8920
pretrain epoch 390/800 loss 1.8849
pretrain epoch 400/800 loss 1.8553
pretrain epoch 410/800 loss 1.8474
pretrain epoch 420/800 loss 1.8490
pretrain epoch 430/800 loss 1.8233
pretrain epoch 440/800 loss 1.8115
pretrain epoch 450/800 loss 1.7823
pretrain epoch 460/800 loss 1.7860
pretrain epoch 470/800 loss 1.7623
pretrain epoch 480/800 loss 1.7462
pretrain epoch 490/800 loss 1.7260
pretrain epoch 500/800 loss 1.7375
pretrain epoch 510/800 loss 1.7066
pretrain epoch 520/800 loss 1.7040
pretrain epoch 530/800 loss 1.6833
pretrain epoch 540/800 loss 1.6690
pretrain epoch 550/800 loss 1.6744
pretrain epoch 560/800 loss 1.6538
pretrain epoch 570/800 loss 1.6542
pretrain epoch 580/800 loss 1.6356
pretrain epoch 590/800 loss 1.6216
pretrain epoch 600/800 loss 1.6085
pretrain epoch 610/800 loss 1.6106
pretrain epoch 620/800 loss 1.6194
pretrain epoch 630/800 loss 1.6010
pretrain epoch 640/800 loss 1.5776
pretrain epoch 650/800 loss 1.6048
pretrain epoch 660/800 loss 1.5738
pretrain epoch 670/800 loss 1.5697
pretrain epoch 680/800 loss 1.5711
pretrain epoch 690/800 loss 1.5511
pretrain epoch 700/800 loss 1.5689
pretrain epoch 710/800 loss 1.5532
pretrain epoch 720/800 loss 1.5438
pretrain epoch 730/800 loss 1.5297
pretrain epoch 740/800 loss 1.5449
pretrain epoch 750/800 loss 1.5500
pretrain epoch 760/800 loss 1.5409
pretrain epoch 770/800 loss 1.5230
pretrain epoch 780/800 loss 1.5328
pretrain epoch 790/800 loss 1.5342
pretrain epoch 800/800 loss 1.5420
saved 150 tensors (31200 steps) -> runs/simclr_pre800_vit_tin_5pct/seed2/pretrain.pt
