=== robustness runs/abl5_none/seed0 ===
gaussian_noise s1: err 0.7582
gaussian_noise s2: err 0.7654
gaussian_noise s3: err 0.7868
gaussian_noise s4: err 0.7999
gaussian_noise s5: err 0.8198
shot_noise s1: err 0.7530
shot_noise s2: err 0.7557
shot_noise s3: err 0.7742
shot_noise s4: err 0.7826
shot_noise s5: err 0.8071
impulse_noise s1: err 0.7621
impulse_noise s2: err 0.7817
impulse_noise s3: err 0.7994
impulse_noise s4: err 0.8544
impulse_noise s5: err 0.8891
defocus_blur s1: err 0.7543
defocus_blur s2: err 0.7651
defocus_blur s3: err 0.7813
defocus_blur s4: err 0.7958
defocus_blur s5: err 0.8230
glass_blur s1: err 0.7635
glass_blur s2: err 0.7663
glass_blur s3: err 0.7733
glass_blur s4: err 0.7797
glass_blur s5: err 0.7793
motion_blur s1: err 0.7733
motion_blur s2: err 0.7925
motion_blur s3: err 0.8087
motion_blur s4: err 0.8104
motion_blur s5: err 0.8271
zoom_blur s1: err 0.7791
zoom_blur s2: err 0.7843
zoom_blur s3: err 0.7931
zoom_blur s4: err 0.7971
zoom_blur s5: err 0.8077
snow s1: err 0.7651
snow s2: err 0.7990
snow s3: err 0.8077
snow s4: err 0.8433
snow s5: err 0.8715
frost s1: err 0.8061
frost s2: err 0.8518
frost s3: err 0.8813
frost s4: err 0.8806
frost s5: err 0.8976
fog s1: err 0.7751
fog s2: err 0.8474
fog s3: err 0.8888
fog s4: err 0.9163
fog s5: err 0.9506
brightness s1: err 0.7580
brightness s2: err 0.7806
brightness s3: err 0.8039
brightness s4: err 0.8322
brightness s5: err 0.8762
contrast s1: err 0.8022
contrast s2: err 0.9124
contrast s3: err 0.9439
contrast s4: err 0.9621
contrast s5: err 0.9747
elastic_transform s1: err 0.7785
elastic_transform s2: err 0.7731
elastic_transform s3: err 0.7852
elastic_transform s4: err 0.7895
elastic_transform s5: err 0.7878
pixelate s1: err 0.7522
pixelate s2: err 0.7543
pixelate s3: err 0.7543
pixelate s4: err 0.7564
pixelate s5: err 0.7652
jpeg_compression s1: err 0.7569
jpeg_compression s2: err 0.7617
jpeg_compression s3: err 0.7631
jpeg_compression s4: err 0.7666
jpeg_compression s5: err 0.7736
clean err 0.7495 -> runs/abl5_none/seed0/robustness.json
=== robustness runs/abl5_none/seed1 ===
gaussian_noise s1: err 0.7566
gaussian_noise s2: err 0.7688
gaussian_noise s3: err 0.7953
gaussian_noise s4: err 0.8130
gaussian_noise s5: err 0.8282
shot_noise s1: err 0.7552
shot_noise s2: err 0.7598
shot_noise s3: err 0.7790
shot_noise s4: err 0.7889
shot_noise s5: err 0.8214
impulse_noise s1: err 0.7641
impulse_noise s2: err 0.7828
impulse_noise s3: err 0.8128
impulse_noise s4: err 0.8606
impulse_noise s5: err 0.9001
defocus_blur s1: err 0.7544
defocus_blur s2: err 0.7651
defocus_blur s3: err 0.7802
defocus_blur s4: err 0.7913
defocus_blur s5: err 0.8144
glass_blur s1: err 0.7639
glass_blur s2: err 0.7647
glass_blur s3: err 0.7735
glass_blur s4: err 0.7743
glass_blur s5: err 0.7796
motion_blur s1: err 0.7713
motion_blur s2: err 0.7914
motion_blur s3: err 0.8043
motion_blur s4: err 0.8052
motion_blur s5: err 0.8209
zoom_blur s1: err 0.7761
zoom_blur s2: err 0.7809
zoom_blur s3: err 0.7903
zoom_blur s4: err 0.7968
zoom_blur s5: err 0.8072
snow s1: err 0.7654
snow s2: err 0.7994
snow s3: err 0.8059
snow s4: err 0.8447
snow s5: err 0.8750
frost s1: err 0.8102
frost s2: err 0.8536
frost s3: err 0.8828
frost s4: err 0.8834
frost s5: err 0.8928
fog s1: err 0.7729
fog s2: err 0.8444
fog s3: err 0.8895
fog s4: err 0.9211
fog s5: err 0.9524
brightness s1: err 0.7613
brightness s2: err 0.7792
brightness s3: err 0.8039
brightness s4: err 0.8301
brightness s5: err 0.8789
contrast s1: err 0.8019
contrast s2: err 0.9103
contrast s3: err 0.9434
contrast s4: err 0.9644
contrast s5: err 0.9759
elastic_transform s1: err 0.7740
elastic_transform s2: err 0.7764
elastic_transform s3: err 0.7831
elastic_transform s4: err 0.7853
elastic_transform s5: err 0.7864
pixelate s1: err 0.7524
pixelate s2: err 0.7566
pixelate s3: err 0.7569
pixelate s4: err 0.7594
pixelate s5: err 0.7687
jpeg_compression s1: err 0.7577
jpeg_compression s2: err 0.7665
jpeg_compression s3: err 0.7681
jpeg_compression s4: err 0.7713
jpeg_compression s5: err 0.7774
clean err 0.7520 -> runs/abl5_none/seed1/robustness.json
=== robustness runs/abl5_none/seed2 ===
gaussian_noise s1: err 0.7509
gaussian_noise s2: err 0.7710
gaussian_noise s3: err 0.8033
gaussian_noise s4: err 0.8187
gaussian_noise s5: err 0.8362
shot_noise s1: err 0.7438
shot_noise s2: err 0.7499
shot_noise s3: err 0.7792
shot_noise s4: err 0.7947
shot_noise s5: err 0.8280
impulse_noise s1: err 0.7543
impulse_noise s2: err 0.7858
impulse_noise s3: err 0.8137
impulse_noise s4: err 0.8688
impulse_noise s5: err 0.9046
defocus_blur s1: err 0.7438
defocus_blur s2: err 0.7581
defocus_blur s3: err 0.7746
defocus_blur s4: err 0.7860
defocus_blur s5: err 0.8167
glass_blur s1: err 0.7605
glass_blur s2: err 0.7616
glass_blur s3: err 0.7684
glass_blur s4: err 0.7745
glass_blur s5: err 0.7784
motion_blur s1: err 0.7668
motion_blur s2: err 0.7894
motion_blur s3: err 0.8037
motion_blur s4: err 0.8048
motion_blur s5: err 0.8209
zoom_blur s1: err 0.7716
zoom_blur s2: err 0.7776
zoom_blur s3: err 0.7855
zoom_blur s4: err 0.7924
zoom_blur s5: err 0.8042
snow s1: err 0.7569
snow s2: err 0.7939
snow s3: err 0.8070
snow s4: err 0.8430
snow s5: err 0.8679
frost s1: err 0.7968
frost s2: err 0.8452
frost s3: err 0.8783
frost s4: err 0.8751
frost s5: err 0.8935
fog s1: err 0.7698
fog s2: err 0.8429
fog s3: err 0.8849
fog s4: err 0.9160
fog s5: err 0.9476
brightness s1: err 0.7528
brightness s2: err 0.7729
brightness s3: err 0.7972
brightness s4: err 0.8265
brightness s5: err 0.8724
contrast s1: err 0.7938
contrast s2: err 0.9038
contrast s3: err 0.9382
contrast s4: err 0.9585
contrast s5: err 0.9750
elastic_transform s1: err 0.7668
elastic_transform s2: err 0.7700
elastic_transform s3: err 0.7752
elastic_transform s4: err 0.7826
elastic_transform s5: err 0.7841
pixelate s1: err 0.7443
pixelate s2: err 0.7456
pixelate s3: err 0.7460
pixelate s4: err 0.7520
pixelate s5: err 0.7586
jpeg_compression s1: err 0.7530
jpeg_compression s2: err 0.7605
jpeg_compression s3: err 0.7648
jpeg_compression s4: err 0.7697
jpeg_compression s5: err 0.7729
clean err 0.7416 -> runs/abl5_none/seed2/robustness.json
=== robustness runs/abl5_gaboronly_calib/seed0 ===
gaussian_noise s1: err 0.7435
gaussian_noise s2: err 0.7674
gaussian_noise s3: err 0.8019
gaussian_noise s4: err 0.8208
gaussian_noise s5: err 0.8423
shot_noise s1: err 0.7348
shot_noise s2: err 0.7442
shot_noise s3: err 0.7795
shot_noise s4: err 0.7954
shot_noise s5: err 0.8303
impulse_noise s1: err 0.7520
impulse_noise s2: err 0.7861
impulse_noise s3: err 0.8263
impulse_noise s4: err 0.8856
