cell,dataset,backbone,optimizer,epochs,head,stem,init_from,pretrained,aux_target,aux_tap,aux_lambda0,aux_lambda_final,subset_pct,n_images,n_seeds,acc_mean,acc_std,probe_mean,probe_std,n_probe_seeds,is_headline,bistable,baseline_cell,base_acc,delta,delta_sem,G,G_sem,readout
abl10_gaboronly_calib,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,10,5000,3,38.78,0.45,,,,yes,,abl10_none,40.28,-1.50,0.32,,,
abl10_none,cifar100,resnet18,sgd,200,linear,none,,,,,,,10,5000,10,40.28,0.57,47.94,0.49,10,yes,,,,,,,,
abl15_gaboronly_calib,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,15,7500,3,47.72,0.78,,,,yes,,abl15_none,50.09,-2.37,0.52,,,
abl15_none,cifar100,resnet18,sgd,200,linear,none,,,,,,,15,7500,3,50.09,0.45,54.63,0.36,3,yes,,,,,,,,
abl1_cat_calib,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,1,500,3,10.00,0.15,,,,yes,,abl1_none,8.95,1.04,0.09,,,
abl1_gaboronly_calib,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,1,500,3,10.25,0.06,,,,yes,,abl1_none,8.95,1.29,0.05,,,
abl1_learned,cifar100,resnet18,sgd,200,linear,learned,,,,,,,1,500,3,8.00,0.09,,,,yes,,abl1_none,8.95,-0.96,0.06,,,
abl1_none,cifar100,resnet18,sgd,200,linear,none,,,,,,,1,500,10,8.95,0.11,26.62,0.28,10,yes,,,,,,,,
abl25_gaboronly_calib,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,25,12500,3,59.75,0.40,,,,yes,,abl25_none,61.35,-1.60,0.35,,,
abl25_none,cifar100,resnet18,sgd,200,linear,none,,,,,,,25,12500,3,61.35,0.46,63.19,0.21,3,yes,,,,,,,,
abl2_gaboronly_calib,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,2,1000,3,15.96,0.20,,,,yes,,abl2_none,14.17,1.79,0.14,,,
abl2_none,cifar100,resnet18,sgd,200,linear,none,,,,,,,2,1000,3,14.17,0.15,29.83,0.45,3,yes,,,,,,,,
abl3_gaboronly_calib,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,3,1500,3,20.32,0.28,,,,yes,,abl3_none,18.47,1.85,0.16,,,
abl3_none,cifar100,resnet18,sgd,200,linear,none,,,,,,,3,1500,3,18.47,0.06,32.77,0.19,3,yes,,,,,,,,
abl5_cat_calib,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,5,2500,3,26.57,0.53,,,,yes,,abl5_none,25.36,1.21,0.35,,,
abl5_gaboronly_calib,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,5,2500,3,27.14,0.06,,,,yes,,abl5_none,25.36,1.78,0.18,,,
abl5_learned,cifar100,resnet18,sgd,200,linear,learned,,,,,,,5,2500,3,21.31,0.39,,,,yes,,abl5_none,25.36,-4.06,0.29,,,
abl5_none,cifar100,resnet18,sgd,200,linear,none,,,,,,,5,2500,10,25.36,0.56,37.22,0.48,10,yes,,,,,,,,
abl7_gaboronly_calib,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,7,3500,3,32.67,0.33,,,,yes,,abl7_none,32.09,0.58,0.44,,,
abl7_none,cifar100,resnet18,sgd,200,linear,none,,,,,,,7,3500,3,32.09,0.69,42.24,0.54,3,yes,,,,,,,,
abl_cat_calib,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,10,5000,1,38.60,0.00,,,,no,,abl10_none,40.28,-1.68,,,,
abl_cat_calib_grid,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,10,5000,1,37.73,0.00,,,,no,,abl10_none,40.28,-2.55,,,,
abl_cat_v1,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,10,5000,1,33.20,0.00,,,,no,,abl10_none,40.28,-7.08,,,,
abl_learned,cifar100,resnet18,sgd,200,linear,learned,,,,,,,10,5000,1,32.71,0.00,,,,no,,abl10_none,40.28,-7.57,,,,
abl_none,cifar100,resnet18,sgd,200,linear,none,,,,,,,10,5000,1,39.41,0.00,,,,no,,abl10_none,40.28,-0.87,,,,
abl_sum_calib,cifar100,resnet18,sgd,200,linear,moments-sum,,,,,,,10,5000,1,32.85,0.00,,,,no,,abl10_none,40.28,-7.43,,,,
ablf50_gaboronly_calib,cifar100,resnet50,sgd,200,linear,moments-cat,,,,,,,100,50000,1,79.88,0.00,,,,no,,ablf50_none,80.51,-0.63,,,,
ablf50_none,cifar100,resnet50,sgd,200,linear,none,,,,,,,100,50000,1,80.51,0.00,,,,no,,,,,,,,
ablf_cat_calib,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,100,50000,2,77.84,0.43,,,,no,,ablf_none,78.52,-0.68,0.32,,,
ablf_catpruned_calib,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,100,50000,2,78.25,0.71,,,,no,,ablf_none,78.52,-0.27,0.51,,,
ablf_gaborlearn_calib,cifar100,resnet18,sgd,200,linear,gabor-learn,,,,,,,100,50000,1,78.04,0.00,,,,no,,ablf_none,78.52,-0.48,,,,
ablf_gaboronly_calib,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,100,50000,3,78.51,0.15,,,,yes,,ablf_none,78.52,-0.01,0.13,,,
ablf_learned,cifar100,resnet18,sgd,200,linear,learned,,,,,,,100,50000,1,78.13,0.00,,,,no,,ablf_none,78.52,-0.39,,,,
ablf_noidentity_calib,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,100,50000,1,76.71,0.00,,,,no,,ablf_none,78.52,-1.81,,,,
ablf_none,cifar100,resnet18,sgd,200,linear,none,,,,,,,100,50000,3,78.52,0.16,,,,yes,,,,,,,,
ablf_randomfixed_calib,cifar100,resnet18,sgd,200,linear,random-fixed,,,,,,,100,50000,1,78.02,0.00,,,,no,,ablf_none,78.52,-0.50,,,,
ablf_zernikeonly_calib,cifar100,resnet18,sgd,200,linear,moments-cat,,,,,,,100,50000,1,77.92,0.00,,,,no,,ablf_none,78.52,-0.60,,,,
auxgab_10pct_l30,cifar100,resnet18,sgd,200,linear,none,,,moments-cat,layer3,0.3,,10,5000,3,40.19,0.42,,,,yes,,abl10_none,40.28,-0.09,0.30,,,
auxhog_10pct,cifar100,resnet18,sgd,200,linear,none,,,,layer3,0.3,,10,5000,3,41.55,0.23,,,,yes,,abl10_none,40.28,1.27,0.22,,,
