population,pct,baseline_miou,delta_miou,probe_none,probe_aux,G,G_sem,readout,readout_sem,baseline_pixel_acc,branch,predicted_sign,resolvable,sign_as_predicted
voc,1,6.232,0.387,4.932,5.241,0.309,0.064,0.078,0.078,69.0,above,positive,False,
voc,2,8.21,0.974,6.78,7.688,0.908,0.142,0.067,0.155,71.71,above,positive,False,
voc,5,13.031,1.15,10.623,11.772,1.149,0.128,0.001,0.167,74.42,above,positive,False,
voc,10,18.278,1.607,15.403,16.649,1.246,0.057,0.362,0.17,76.83,above,positive,True,True
voc,25,29.049,2.336,25.836,27.342,1.507,0.335,0.83,0.456,80.93,above,positive,False,
cityscapes,1,16.835,0.486,16.369,16.509,0.14,0.057,0.346,0.084,69.24,above,positive,True,True
cityscapes,2,19.271,0.409,18.268,18.569,0.301,0.187,0.109,0.242,74.72,above,positive,False,
cityscapes,5,24.653,0.197,22.198,22.157,-0.041,0.061,0.238,0.157,81.34,above,positive,False,
cityscapes,10,28.936,0.681,25.005,25.465,0.46,0.095,0.221,0.228,84.42,above,positive,False,
cityscapes,25,35.464,0.732,29.266,29.817,0.55,0.094,0.181,0.235,87.59,above,positive,False,
foodseg103,1,2.657,0.12,2.484,2.603,0.119,0.028,0.001,0.051,45.33,above,positive,False,
foodseg103,2,2.687,0.197,2.507,2.666,0.159,0.014,0.038,0.021,47.36,above,positive,False,
foodseg103,5,3.084,0.258,2.871,3.1,0.229,0.027,0.029,0.037,50.26,above,positive,False,
foodseg103,10,3.953,0.435,3.491,3.852,0.36,0.047,0.074,0.069,53.22,above,positive,False,
foodseg103,25,6.815,0.558,5.693,6.053,0.36,0.056,0.198,0.108,58.52,above,positive,False,
ade20k,1,3.28,0.183,3.474,3.659,0.185,0.026,-0.002,0.038,40.67,above,positive,False,
ade20k,2,4.229,0.198,4.209,4.438,0.228,0.021,-0.031,0.028,45.88,above,positive,False,
ade20k,5,6.239,0.375,5.92,6.194,0.274,0.014,0.101,0.027,52.29,above,positive,True,True
ade20k,10,9.332,0.381,7.971,8.209,0.238,0.076,0.143,0.17,57.15,above,positive,False,
ade20k,25,15.379,0.374,11.565,11.465,-0.1,0.097,0.474,0.129,63.71,above,positive,True,True
pascalcontext,1,1.07,0.113,1.279,1.378,0.098,0.013,0.015,0.016,21.09,below,negative,False,
pascalcontext,2,1.281,0.126,1.387,1.51,0.124,0.015,0.003,0.017,25.93,below,negative,False,
pascalcontext,5,1.821,0.161,1.83,1.985,0.155,0.01,0.006,0.028,32.1,inside,,False,
pascalcontext,10,2.418,0.101,2.279,2.392,0.113,0.025,-0.012,0.03,37.21,inside,,False,
pascalcontext,25,3.494,0.16,3.131,3.258,0.127,0.023,0.032,0.032,44.46,above,positive,False,
diagswin_voc,1,4.909,0.419,4.344,4.543,0.199,0.031,0.22,0.051,72.35,above,positive,True,True
diagswin_voc,2,6.071,1.293,5.021,6.059,1.038,0.038,0.255,0.067,73.23,above,positive,True,True
diagswin_voc,5,8.136,1.759,6.882,8.086,1.204,0.057,0.555,0.1,74.62,above,positive,True,True
diagswin_voc,10,11.158,0.895,9.345,9.995,0.65,0.064,0.245,0.092,75.77,above,positive,True,True
diagswin_voc,25,16.023,0.75,13.53,13.805,0.275,0.126,0.475,0.173,77.55,above,positive,True,True
