population,pct,n_seeds_none,n_seeds_aux,baseline_miou,baseline_sem,aux_miou,aux_sem,delta_miou,delta_sem,delta_rel_pct,baseline_pixel_acc
voc,1,3,3,6.232,0.043,6.619,0.012,0.387,0.044,6.2,69.0
voc,2,3,3,8.21,0.049,9.185,0.037,0.974,0.061,11.87,71.71
voc,5,3,3,13.031,0.091,14.182,0.058,1.15,0.108,8.83,74.42
voc,10,3,3,18.278,0.154,19.885,0.045,1.607,0.161,8.79,76.83
voc,25,3,3,29.049,0.162,31.385,0.263,2.336,0.309,8.04,80.93
voc,100,3,3,51.525,0.115,51.98,0.186,0.455,0.219,0.88,88.31
cityscapes,1,3,3,16.835,0.04,17.321,0.046,0.486,0.061,2.89,69.24
cityscapes,2,3,3,19.271,0.067,19.68,0.138,0.409,0.153,2.12,74.72
cityscapes,5,3,3,24.653,0.133,24.851,0.059,0.197,0.145,0.8,81.34
cityscapes,10,3,3,28.936,0.202,29.618,0.046,0.681,0.207,2.35,84.42
cityscapes,25,3,3,35.464,0.182,36.196,0.115,0.732,0.215,2.06,87.59
cityscapes,100,3,3,49.433,0.236,49.917,0.104,0.484,0.258,0.98,91.19
foodseg103,1,3,3,2.657,0.026,2.777,0.034,0.12,0.043,4.52,45.33
foodseg103,2,3,3,2.687,0.005,2.884,0.015,0.197,0.016,7.34,47.36
foodseg103,5,3,3,3.084,0.003,3.342,0.026,0.258,0.026,8.36,50.26
foodseg103,10,3,3,3.953,0.044,4.388,0.022,0.435,0.05,10.99,53.22
foodseg103,25,3,3,6.815,0.087,7.373,0.031,0.558,0.092,8.19,58.52
foodseg103,100,3,3,17.876,0.032,17.755,0.066,-0.121,0.073,-0.68,69.6
ade20k,1,3,3,3.28,0.025,3.463,0.012,0.183,0.028,5.57,40.67
ade20k,2,3,3,4.229,0.018,4.427,0.005,0.198,0.019,4.68,45.88
ade20k,5,3,3,6.239,0.017,6.614,0.016,0.375,0.023,6.01,52.29
ade20k,10,3,3,9.332,0.095,9.713,0.118,0.381,0.152,4.08,57.15
ade20k,25,3,3,15.379,0.081,15.753,0.024,0.374,0.084,2.43,63.71
ade20k,100,3,3,27.488,0.112,27.199,0.114,-0.288,0.159,-1.05,72.35
pascalcontext,1,3,3,1.07,0.003,1.183,0.009,0.113,0.01,10.59,21.09
pascalcontext,2,3,3,1.281,0.004,1.407,0.006,0.126,0.007,9.88,25.93
pascalcontext,5,3,3,1.821,0.026,1.983,0.006,0.161,0.027,8.85,32.1
pascalcontext,10,3,3,2.418,0.015,2.52,0.007,0.101,0.017,4.19,37.21
pascalcontext,25,3,3,3.494,0.019,3.653,0.012,0.16,0.022,4.57,44.46
pascalcontext,100,3,3,6.436,0.016,6.602,0.002,0.166,0.016,2.58,56.44
diagswin_voc,1,3,3,4.909,0.034,5.328,0.021,0.419,0.04,8.54,72.35
diagswin_voc,2,3,3,6.071,0.052,7.364,0.015,1.293,0.055,21.3,73.23
diagswin_voc,5,3,3,8.136,0.075,9.895,0.034,1.759,0.082,21.62,74.62
diagswin_voc,10,3,3,11.158,0.061,12.053,0.023,0.895,0.065,8.02,75.77
diagswin_voc,25,3,3,16.023,0.092,16.773,0.074,0.75,0.118,4.68,77.55
diagswin_voc,100,3,3,26.264,0.274,27.571,0.09,1.307,0.288,4.98,80.93
