,,,,accuracy (test top-1 %),,,,,,,,,,,delta vs own baseline (pts),,,,,,,,,,,seeds,,,,,,,,,,,
configuration,dataset,backbone,role,1%,2%,3%,5%,7%,10%,15%,20%,25%,50%,100%,1%,2%,3%,5%,7%,10%,15%,20%,25%,50%,100%,1%,2%,3%,5%,7%,10%,15%,20%,25%,50%,100%,cells
BASELINE,cifar10,mobilenetv3_small_100,baseline,33.44,39.45,44.02,56.91,63.98,70.09,74.49,78.44,79.74,84.53,87.33,,,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,grid_mnet_c10_none_1pct grid_mnet_c10_none_2pct grid_mnet_c10_none_3pct grid_mnet_c10_none_5pct grid_mnet_c10_none_7pct grid_mnet_c10_none_10pct grid_mnet_c10_none_15pct grid_mnet_c10_none_20pct grid_mnet_c10_none_25pct grid_mnet_c10_none_50pct grid_mnet_c10_none_100pct
"aux(magnitude@b3,L1.0>0.0,hn)",cifar10,mobilenetv3_small_100,variant,35.31,43.03,48.67,59.56,64.13,70.85,75.99,78.31,79.72,84.53,87.14,1.88,3.59,4.65,2.65,0.15,0.76,1.50,-0.13,-0.02,0.00,-0.19,3,3,3,3,3,3,3,3,3,3,3,grid_mnet_c10_aux_1pct grid_mnet_c10_aux_2pct grid_mnet_c10_aux_3pct grid_mnet_c10_aux_5pct grid_mnet_c10_aux_7pct grid_mnet_c10_aux_10pct grid_mnet_c10_aux_15pct grid_mnet_c10_aux_20pct grid_mnet_c10_aux_25pct grid_mnet_c10_aux_50pct grid_mnet_c10_aux_100pct
BASELINE,cifar10,resnet18,baseline,39.48,51.71,60.13,69.11,75.22,80.63,85.65,87.95,89.26,93.01,95.28,0.34,,,0.06,,-0.08,,,,,,3,10,3,3,3,3,3,3,3,3,3,grid_c10_r18_ebb591_1pct c10_none_2pct c10_none_3pct grid_c10_r18_ebb591_5pct c10_none_7pct grid_c10_r18_ebb591_10pct c10_none_15pct grid_c10_r18_ebb591_20pct c10_none_25pct grid_c10_r18_ebb591_50pct c10_none_100pct
BASELINE,cifar10,resnet18,baseline,39.15,51.68,59.69,69.05,74.45,80.71,85.61,87.78,89.43,93.04,95.25,,-0.02,-0.44,,-0.77,,-0.04,-0.17,0.16,0.03,-0.02,10,3,3,3,3,3,3,3,3,3,3,c10_none_1pct grid_c10_r18_4d2fb5_2pct grid_c10_r18_4d2fb5_3pct c10_none_5pct grid_c10_r18_4d2fb5_7pct c10_none_10pct grid_c10_r18_4d2fb5_15pct grid_c10_r18_4d2fb5_20pct grid_c10_r18_4d2fb5_25pct grid_c10_r18_4d2fb5_50pct grid_c10_r18_4d2fb5_100pct
BASELINE,cifar10,resnet18,baseline,51.93,65.80,72.76,80.92,86.03,90.03,91.31,91.71,92.18,94.01,95.44,,,,,,,,,,,,3,3,3,10,3,3,3,3,3,3,3,diagtransfer2_c10_none_1pct diagtransfer2_c10_none_2pct diagtransfer2_c10_none_3pct diagtransfer2_c10_none_5pct diagtransfer2_c10_none_7pct diagtransfer2_c10_none_10pct diagtransfer2_c10_none_15pct diagtransfer2_c10_none_20pct diagtransfer2_c10_none_25pct diagtransfer2_c10_none_50pct diagtransfer2_c10_none_100pct
"aux(magnitude3@L3,L1.0>0.0,hn)",cifar10,resnet18,variant,45.17,58.49,65.28,73.00,77.03,81.03,84.72,86.79,88.61,92.44,95.01,6.02,6.78,5.15,3.95,1.80,0.32,-0.93,-1.16,-0.65,-0.57,-0.26,3,3,3,3,3,3,3,3,3,3,3,grid_mag3_c10_1pct grid_mag3_c10_2pct grid_mag3_c10_3pct grid_mag3_c10_5pct grid_mag3_c10_7pct grid_mag3_c10_10pct grid_mag3_c10_15pct grid_mag3_c10_20pct grid_mag3_c10_25pct grid_mag3_c10_50pct grid_mag3_c10_100pct
"aux(magnitude6o@L3,L1.0>0.0,hn)",cifar10,resnet18,variant,44.78,58.93,66.26,74.28,77.65,81.74,85.03,87.06,88.75,92.62,95.16,5.63,7.23,6.13,5.23,2.42,1.04,-0.62,-0.89,-0.51,-0.39,-0.12,3,3,3,3,3,3,3,3,3,3,3,grid_mag6o_c10_1pct grid_mag6o_c10_2pct grid_mag6o_c10_3pct grid_mag6o_c10_5pct grid_mag6o_c10_7pct grid_mag6o_c10_10pct grid_mag6o_c10_15pct grid_mag6o_c10_20pct grid_mag6o_c10_25pct grid_mag6o_c10_50pct grid_mag6o_c10_100pct
"aux(magnitude@L3,L0.05>0.0,hn)",cifar10,resnet18,variant,,,,80.97,,,,,,,,,,,0.05,,,,,,,,,,,10,,,,,,,,diagtaxlam_c10_l005_5pct
"aux(magnitude@L3,L0.1>0.0,hn)",cifar10,resnet18,variant,,,,81.12,,,,,,,,,,,0.20,,,,,,,,,,,10,,,,,,,,diagtaxlam_c10_l01_5pct
"aux(magnitude@L3,L0.3)",cifar10,resnet18,variant,,,,72.54,,81.21,,,,,,,,,3.49,,0.50,,,,,,,,,3,,2,,,,,,diagtgt_c10_mag_5pct diagtgt_c10_mag_10pct
"aux(magnitude@L3,L0.3>0.0)",cifar10,resnet18,variant,41.70,55.80,64.20,72.75,77.29,81.81,85.52,87.25,88.99,92.71,95.07,2.55,4.10,4.07,3.70,2.07,1.10,-0.13,-0.70,-0.27,-0.29,-0.20,3,3,3,3,3,3,3,3,3,3,3,grid_c10_r18_axmagnitudeL3_l03to00_de04e0_1pct grid_c10_r18_axmagnitudeL3_l03to00_de04e0_2pct grid_c10_r18_axmagnitudeL3_l03to00_de04e0_3pct grid_c10_r18_axmagnitudeL3_l03to00_de04e0_5pct grid_c10_r18_axmagnitudeL3_l03to00_de04e0_7pct c10_aux_10pct_l03 c10_aux_15pct_l03 grid_c10_r18_axmagnitudeL3_l03to00_de04e0_20pct grid_c10_r18_axmagnitudeL3_l03to00_de04e0_25pct grid_c10_r18_axmagnitudeL3_l03to00_de04e0_50pct grid_c10_r18_axmagnitudeL3_l03to00_de04e0_100pct
"aux(magnitude@L3,L0.3>0.0,hn)",cifar10,resnet18,variant,,,,80.74,,,,,,,,,,,-0.18,,,,,,,,,,,10,,,,,,,,diagtaxlam_c10_l03_5pct
"aux(magnitude@L3,L1.0>0.0)",cifar10,resnet18,variant,45.51,58.37,65.51,73.46,77.43,81.80,84.99,87.18,88.43,92.33,95.01,6.37,6.66,5.38,4.41,2.21,1.09,-0.66,-0.77,-0.83,-0.68,-0.26,10,10,3,3,3,3,3,3,3,3,3,c10_aux_1pct c10_aux_2pct c10_aux_3pct c10_aux_5pct c10_aux_7pct c10_aux_10pct c10_aux_15pct grid_c10_r18_axmagnitudeL3_l10to00_8490d9_20pct c10_aux_25pct grid_c10_r18_axmagnitudeL3_l10to00_8490d9_50pct c10_aux_100pct
"aux(magnitude@L3,L1.0>0.0,hn)",cifar10,resnet18,variant,,,,79.63,,,,,,,,,,,-1.29,,,,,,,,,,,10,,,,,,,,diagtaxlam_c10_delay_5pct
"aux(magnitude@L3,L1.0>0.0,hn)",cifar10,resnet18,variant,34.92,44.77,55.11,65.68,67.63,76.07,84.59,86.70,89.35,92.85,95.18,-17.01,-21.03,-17.65,-15.24,-18.41,-13.96,-6.72,-5.00,-2.83,-1.15,-0.26,3,3,3,10,3,3,3,3,3,3,3,diagtransfer2_c10_aux_1pct diagtransfer2_c10_aux_2pct diagtransfer2_c10_aux_3pct diagtransfer2_c10_aux_5pct diagtransfer2_c10_aux_7pct diagtransfer2_c10_aux_10pct diagtransfer2_c10_aux_15pct diagtransfer2_c10_aux_20pct diagtransfer2_c10_aux_25pct diagtransfer2_c10_aux_50pct diagtransfer2_c10_aux_100pct
"aux(magnitude@L3,L1.0>0.0,hn) + simclr-init",cifar10,resnet18,variant,,60.84,,,,,,,,,,,9.13,,,,,,,,,,,3,,,,,,,,,,diagprosp_simclraux_c10_2pct
"aux(magnitude@L3,L1.0>0.0,hn) + simsiam-init",cifar10,resnet18,variant,,,,73.91,,,,,,,,,,,4.86,,,,,,,,,,,3,,,,,,,,diagprosp_simsiamaux_c10_5pct
"aux(random-fixed@L3,L0.3)",cifar10,resnet18,variant,,,,68.35,,79.24,,,,,,,,,-0.70,,-1.46,,,,,,,,,3,,3,,,,,,diagtgt_c10_rand_5pct diagtgt_c10_rand_10pct
simclr-init,cifar10,resnet18,variant,46.17,59.78,66.14,75.41,79.65,83.46,86.89,88.71,89.95,93.37,95.24,7.02,8.07,6.01,6.36,4.42,2.75,1.24,0.76,0.68,0.36,-0.03,3,3,3,3,3,3,3,3,3,3,3,diaggrid_simclr_c10_1pct diaggrid_simclr_c10_2pct diaggrid_simclr_c10_3pct diaggrid_simclr_c10_5pct diaggrid_simclr_c10_7pct diaggrid_simclr_c10_10pct diaggrid_simclr_c10_15pct diaggrid_simclr_c10_20pct diaggrid_simclr_c10_25pct diaggrid_simclr_c10_50pct diaggrid_simclr_c10_100pct
simsiam-init,cifar10,resnet18,variant,39.79,52.53,60.46,69.10,75.90,81.21,85.45,87.87,89.06,92.81,95.02,0.64,0.82,0.33,0.05,0.68,0.50,-0.20,-0.08,-0.20,-0.20,-0.25,3,3,3,3,3,3,3,3,3,3,3,diaggrid_simsiam_c10_1pct diaggrid_simsiam_c10_2pct diaggrid_simsiam_c10_3pct diaggrid_simsiam_c10_5pct diaggrid_simsiam_c10_7pct diaggrid_simsiam_c10_10pct diaggrid_simsiam_c10_15pct diaggrid_simsiam_c10_20pct diaggrid_simsiam_c10_25pct diaggrid_simsiam_c10_50pct diaggrid_simsiam_c10_100pct
